1191,baseball,1,201,5,2019-08-18 00:00:00.000000,2019-08-18,0
1201,baseball,1,211,5,2019-08-25 00:00:00.000000,2019-08-25,0
1211,baseball,1,221,5,2019-09-01 00:00:00.000000,2019-09-01,0
1221,baseball,1,231,5,2019-09-08 00:00:00.000000,2019-09-08,0
1231,baseball,1,241,5,2019-09-15 00:00:00.000000,2019-09-15,0
1241,baseball,1,251,5,2019-09-22 00:00:00.000000,2019-09-22,0
1251,baseball,1,261,5,2019-09-29 00:00:00.000000,2019-09-29,0
1261,baseball,1,271,5,2019-10-06 00:00:00.000000,2019-10-06,0
1271,baseball,1,281,5,2019-10-13 00:00:00.000000,2019-10-13,0
1281,baseball,1,291,5,2019-10-20 00:00:00.000000,2019-10-20,0
1291,baseball,11,21,7,2019-04-07 00:00:00.000000,2019-04-07,0
1301,baseball,11,31,7,2019-04-14 00:00:00.000000,2019-04-14,0
1311,baseball,11,41,7,2019-04-21 00:00:00.000000,2019-04-21,0
1321,baseball,11,51,7,2019-04-28 00:00:00.000000,2019-04-28,0
1331,baseball,11,61,7,2019-05-05 00:00:00.000000,2019-05-05,0
1341,baseball,11,71,7,2019-05-12 00:00:00.000000,2019-05-12,0
1351,baseball,11,81,7,2019-05-19 00:00:00.000000,2019-05-19,0
1361,baseball,11,91,7,2019-05-26 00:00:00.000000,2019-05-26,0
1371,baseball,11,101,7,2019-06-02 00:00:00.000000,2019-06-02,0
1381,baseball,11,111,7,2019-06-09 00:00:00.000000,2019-06-09,0
1391,baseball,11,121,7,2019-06-16 00:00:00.000000,2019-06-16,0
1401,baseball,11,131,7,2019-06-23 00:00:00.000000,2019-06-23,0
1411,baseball,11,141,7,2019-06-30 00:00:00.000000,2019-06-30,0
1421,baseball,11,151,7,2019-07-07 00:00:00.000000,2019-07-07,0
1431,baseball,11,161,7,2019-07-14 00:00:00.000000,2019-07-14,0
1441,baseball,11,171,7,2019-07-21 00:00:00.000000,2019-07-21,0
1451,baseball,11,181,7,2019-07-28 00:00:00.000000,2019-07-28,0
1461,baseball,11,191,7,2019-08-04 00:00:00.000000,2019-08-04,0
1471,baseball,11,201,7,2019-08-11 00:00:00.000000,2019-08-11,0
1481,baseball,11,211,7,2019-08-18 00:00:00.000000,2019-08-18,0
1491,baseball,11,221,7,2019-08-25 00:00:00.000000,2019-08-25,0
1501,baseball,11,231,7,2019-09-01 00:00:00.000000,2019-09-01,0
